"Day";"Month";"Year";"Farm";"Tree";"Treatment";"Visit";"Hemiptera";"Lepidoptera";"Hymenoptera";"Neuroptera";"Diptera";"Coleoptera";"Orthoptera";"Arachnida";"Formicidae";"Brown.capsid";"Mealybugs";"Blatodae";"Mantodae";"Odonata";"Dermaptera";"Diplopoda";"Gasteropoda";"Haplotaxida";"Squamata";"TreeHeight";"DBH";"shade_treelevel";"DiameterBranches";"biomass_tree";"shade_cover";"area";"trees_planted";"n_tree";"rich_tree";"shade_heigth";"shade_dbh";"n_forest";"rich_forest";"n_fruit";"rich_fruit";"cacao_heigth";"cacao_dbh";"mean_dist_cacao";"n_cacao";"cacao_dens";"yield_2018";"yieldst_2018";"forestcover8k";"allforestcover_1.5k";"biomass_cocoa_mean";"biomass_cocoa_total";"bat_ins";"bat_dcyc";"bat_hrub";"bat_hip";"bat_nyc";"bat_ralc";"bird_ins";"bird_cam";"bird_dyap";"bird_hpra";"bird_terp";"Month_number";"roll.mean";"Tree_ID"
1;"May";2020;"ELAT SOUTH";"Control B";"Control";3;69;0;1;0;14;7;1;2;352;0;0;0;0;0;0;0;0;0;0;3,37;23,2;82,929;20,6;0,0550282025169479;31;4,2;2011;32;11;26,084375;8,963125;11;7;21;4;8,925;2,865;3,51;3402,76;810,18;2;0,476190476;35,2;696,96;0,00313275578855944;2,53809608477509;0,0246812011517894;0;0;0,00822706705059646;0;0;0,130475043288414;0,0651133027177597;0;0;0;5;6,24;"ELAT SOUTH_Control B"
1;"May";2020;"ELAT SOUTH";"Treatment B";"Exclosure";3;149;0;2;0;7;4;0;0;393;0;57;0;0;0;0;0;0;0;0;3,4;28,6;11,726;19;0,0835095064298799;31;4,2;2011;32;11;26,084375;8,963125;11;7;21;4;8,925;2,865;3,51;3402,76;810,18;2;0,476190476;35,2;696,96;0,00313275578855944;2,53809608477509;0,0246812011517894;0;0;0,00822706705059646;0;0;0,130475043288414;0,0651133027177597;0;0;0;5;6,24;"ELAT SOUTH_Treatment B"
1;"September";2020;"ELAT SOUTH";"Control B";"Control";7;16;1;3;0;27;20;1;4;1132;0;0;0;0;0;0;0;0;0;0;3,37;23,2;82,929;20,6;0,0550282025169479;31;4,2;2011;32;11;26,084375;8,963125;11;7;21;4;8,925;2,865;3,51;3402,76;810,18;2;0,476190476;35,2;696,96;0,00313275578855944;2,53809608477509;0,0246812011517894;0;0;0,00822706705059646;0;0;0,130475043288414;0,0651133027177597;0;0;0;9;6,13;"ELAT SOUTH_Control B"
1;"September";2020;"ELAT SOUTH";"Treatment A";"Exclosure";7;755;1;2;0;5;77;0;35;903;0;11;0;0;0;0;0;0;0;0;3,07;27;17,783;18,7;0,0675546299364926;31;4,2;2011;32;11;26,084375;8,963125;11;7;21;4;8,925;2,865;3,51;3402,76;810,18;2;0,476190476;35,2;696,96;0,00313275578855944;2,53809608477509;0,0246812011517894;0;0;0,00822706705059646;0;0;0,130475043288414;0,0651133027177597;0;0;0;9;6,13;"ELAT SOUTH_Treatment A"
1;"September";2020;"ELAT SOUTH";"Control A";"Control";7;52;0;2;0;6;5;0;1;39;0;1;0;0;0;0;0;0;0;0;3,24;23,8;82,491;16,4;0,0556616591185519;31;4,2;2011;32;11;26,084375;8,963125;11;7;21;4;8,925;2,865;3,51;3402,76;810,18;2;0,476190476;35,2;696,96;0,00313275578855944;2,53809608477509;0,0246812011517894;0;0;0,00822706705059646;0;0;0,130475043288414;0,0651133027177597;0;0;0;9;6,13;"ELAT SOUTH_Control A"
1;"September";2020;"ELAT SOUTH";"Treatment B";"Exclosure";7;73;3;4;0;19;9;0;3;250;0;63;0;1;0;0;0;0;0;0;3,4;28,6;11,726;19;0,0835095064298799;31;4,2;2011;32;11;26,084375;8,963125;11;7;21;4;8,925;2,865;3,51;3402,76;810,18;2;0,476190476;35,2;696,96;0,00313275578855944;2,53809608477509;0,0246812011517894;0;0;0,00822706705059646;0;0;0,130475043288414;0,0651133027177597;0;0;0;9;6,13;"ELAT SOUTH_Treatment B"
12;"Feb";2020;"EBEM";"Control A";"Control";1;1;1;0;0;1;0;0;1;10;0;0;0;0;0;0;0;0;0;0;3,94;33;42,439;22,63;0,127505676644573;85,45;3,5;1993;51;26;54,56666667;18,06666667;29;22;21;3;10,54;4,17;3,19;3448,07;985,16;1,5;0,428571429;27,64;694,54;0,00685298713487667;6,7512888057951;0,151587301587302;0,0158730158730159;0,0396825396825397;0,0162698412698413;0,0158730158730159;0,040079365079365;0,189923494037536;0,0165289256198347;0,041288210351609;0;0,0247706526311003;2;0;"EBEM_Control A"
12;"Feb";2020;"EBEM";"Treatment B";"Exclosure";1;0;0;0;0;2;0;1;2;60;0;0;0;0;0;0;0;0;0;0;3,06;15,3;68,99;13,7;0,0222212140268692;85,45;3,5;1993;51;26;54,56666667;18,06666667;29;22;21;3;10,54;4,17;3,19;3448,07;985,16;1,5;0,428571429;27,64;694,54;0,00685298713487667;6,7512888057951;0,151587301587302;0,0158730158730159;0,0396825396825397;0,0162698412698413;0,0158730158730159;0,040079365079365;0,189923494037536;0,0165289256198347;0,041288210351609;0;0,0247706526311003;2;0;"EBEM_Treatment B"
12;"Feb";2020;"EBEM";"Control B";"Control";1;0;0;0;2;2;1;0;3;358;0;0;0;0;0;0;0;0;0;0;3,43;27;65,328;17,26;0,0752757560176576;85,45;3,5;1993;51;26;54,56666667;18,06666667;29;22;21;3;10,54;4,17;3,19;3448,07;985,16;1,5;0,428571429;27,64;694,54;0,00685298713487667;6,7512888057951;0,151587301587302;0,0158730158730159;0,0396825396825397;0,0162698412698413;0,0158730158730159;0,040079365079365;0,189923494037536;0,0165289256198347;0,041288210351609;0;0,0247706526311003;2;0;"EBEM_Control B"
12;"Feb";2020;"EBEM";"Treatment A";"Exclosure";1;53;0;4;2;3;2;2;3;0;0;0;0;0;0;0;0;0;0;0;3;29;38,948;23,5;0,0759376640795285;85,45;3,5;1993;51;26;54,56666667;18,06666667;29;22;21;3;10,54;4,17;3,19;3448,07;985,16;1,5;0,428571429;27,64;694,54;0,00685298713487667;6,7512888057951;0,151587301587302;0,0158730158730159;0,0396825396825397;0,0162698412698413;0,0158730158730159;0,040079365079365;0,189923494037536;0,0165289256198347;0,041288210351609;0;0,0247706526311003;2;0;"EBEM_Treatment A"
12;"Feb";2020;"NKOL SOUTH";"Control A";"Control";1;1;0;0;2;1;2;0;1;54;0;0;20;0;0;0;0;0;0;0;6,68;19;73,656;19;0,0726599096665397;84,55;2,7;1970;66;29;40,34545455;15,05;38;21;28;6;9,75;6,675;4,57;1292,8;478,81;0,5;0,185185185;26,01;686,07;0,0159121178107248;7,61888112895312;0,0947692307692308;0,0236923076923077;0,0156923076923077;0,0236923076923077;0,00769230769230769;0,016;0,0981360671015846;0,0246598322460392;0,0162162162162163;0;0,0162162162162163;2;0;"NKOL SOUTH_Control A"
12;"Feb";2020;"NKOL SOUTH";"Treatment A";"Exclosure";1;10;0;10;0;3;0;0;0;225;0;0;0;0;0;0;0;0;0;0;3,27;18;80,22;11,93;0,032559410536727;84,55;2,7;1970;66;29;40,34545455;15,05;38;21;28;6;9,75;6,675;4,57;1292,8;478,81;0,5;0,185185185;26,01;686,07;0,0159121178107248;7,61888112895312;0,0947692307692308;0,0236923076923077;0,0156923076923077;0,0236923076923077;0,00769230769230769;0,016;0,0981360671015846;0,0246598322460392;0,0162162162162163;0;0,0162162162162163;2;0;"NKOL SOUTH_Treatment A"
12;"Feb";2020;"NKOL SOUTH";"Control B";"Control";1;0;0;2;0;0;4;0;0;192;0;0;0;1;0;0;0;0;0;0;3,88;33,6;52,234;17,2;0,130106810591937;84,55;2,7;1970;66;29;40,34545455;15,05;38;21;28;6;9,75;6,675;4,57;1292,8;478,81;0,5;0,185185185;26,01;686,07;0,0159121178107248;7,61888112895312;0,0947692307692308;0,0236923076923077;0,0156923076923077;0,0236923076923077;0,00769230769230769;0,016;0,0981360671015846;0,0246598322460392;0,0162162162162163;0;0,0162162162162163;2;0;"NKOL SOUTH_Control B"
12;"Feb";2020;"NKOL SOUTH";"Treatment B";"Exclosure";1;0;0;0;3;0;1;0;0;254;0;0;0;0;0;0;0;0;0;0;3,57;24;60,847;16,3;0,0621960093115568;84,55;2,7;1970;66;29;40,34545455;15,05;38;21;28;6;9,75;6,675;4,57;1292,8;478,81;0,5;0,185185185;26,01;686,07;0,0159121178107248;7,61888112895312;0,0947692307692308;0,0236923076923077;0,0156923076923077;0,0236923076923077;0,00769230769230769;0,016;0,0981360671015846;0,0246598322460392;0,0162162162162163;0;0,0162162162162163;2;0;"NKOL SOUTH_Treatment B"
13;"Feb";2020;"ADZAP";"Control A";"Control";1;0;0;0;6;0;1;1;0;40;0;0;0;0;0;0;0;0;0;0;3,74;24,6;38,348;16,3;0,0682989473116861;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;2;0,01;"ADZAP_Control A"
13;"Feb";2020;"ADZAP";"Treatment B";"Exclosure";1;12;0;0;6;0;0;0;0;130;0;0;15;0;0;0;0;0;0;0;3,18;32;58,563;24,2;0,0974109152616667;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;2;0,01;"ADZAP_Treatment B"
13;"Feb";2020;"ADZAP";"Treatment A";"Exclosure";1;33;0;0;0;0;1;2;0;24;0;0;5;0;0;0;0;0;0;0;3,09;26,2;30,476;17,6;0,0641076111086343;21,85;9;2012;13;9;31,7;11,41538462;12;8;1;1;9,73;5,035;4,3;4868,06;540,9;1,5;0,166666667;30,2;696,96;0,00862010559143008;4,66261511440453;0,073972602739726;0,0164383561643836;0,0246575342465753;0;0;0,0328767123287671;0,215260643228981;0,0640947015617202;0;0,0160236753904301;0,0237467018469658;2;0,01;"ADZAP_Treatment A"
19;"Feb";2020;"EBA001";"Control A";"Control";1;0;0;2;14;1;1;1;4;211;0;6;50;0;0;0;0;0;0;0;3,6;28,6;76,37;19,3;0,0883006162596797;87,45;1,6;1985;28;11;13,85;55,90714286;10;6;18;5;4,34;10,15;2,98;1806,57;1129,1;0,7;0,4375;23,9;390,83;0,0152996715248028;17,2748591186548;0,145824763471822;0,00882352941176471;0,0341011929247223;0,00822706705059646;0,0335047305635541;0,0693953105717811;0,162145062890713;0,0244934849740152;0;0;0;2;0,02;"EBA001_Control A"
19;"Feb";2020;"EBA001";"Treatment B";"Exclosure";1;1;0;0;6;1;0;0;4;20;0;29;0;0;0;0;0;0;0;0;3,42;34,4;79,751;24,8;0,120436342085667;87,45;1,6;1985;28;11;13,85;55,90714286;10;6;18;5;4,34;10,15;2,98;1806,57;1129,1;0,7;0,4375;23,9;390,83;0,0152996715248028;17,2748591186548;0,145824763471822;0,00882352941176471;0,0341011929247223;0,00822706705059646;0,0335047305635541;0,0693953105717811;0,162145062890713;0,0244934849740152;0;0;0;2;0,02;"EBA001_Treatment B"
19;"Feb";2020;"EBA001";"Treatment A";"Exclosure";1;0;0;1;7;2;0;1;7;7;0;2;0;0;0;0;0;0;0;0;2,91;32;73,266;21,6;0,0893302011859696;87,45;1,6;1985;28;11;13,85;55,90714286;10;6;18;5;4,34;10,15;2,98;1806,57;1129,1;0,7;0,4375;23,9;390,83;0,0152996715248028;17,2748591186548;0,145824763471822;0,00882352941176471;0,0341011929247223;0,00822706705059646;0,0335047305635541;0,0693953105717811;0,162145062890713;0,0244934849740152;0;0;0;2;0,02;"EBA001_Treatment A"
19;"Feb";2020;"EBA001";"Control B";"Control";1;1;1;0;4;0;0;0;0;4;0;27;0;0;0;0;0;0;0;0;2,93;31,4;67,166;20,8;0,0866673400583911;87,45;1,6;1985;28;11;13,85;55,90714286;10;6;18;5;4,34;10,15;2,98;1806,57;1129,1;0,7;0,4375;23,9;390,83;0,0152996715248028;17,2748591186548;0,145824763471822;0,00882352941176471;0,0341011929247223;0,00822706705059646;0,0335047305635541;0,0693953105717811;0,162145062890713;0,0244934849740152;0;0;0;2;0,02;"EBA001_Control B"
19;"Feb";2020;"NGUI001";"Control A";"Control";1;0;0;0;2;0;0;0;1;127;0;1;2;0;0;0;0;0;0;0;3,44;24,6;27,336;17;0,0629466129136738;66,7;8,2;1990;30;18;16,33333333;40,29333333;25;16;4;1;4,19;9,295;2,9;9720,11;1185,38;2;0,243902439;32,71;683,65;0,0128995643027618;15,2908855332078;0,0707602814953423;0,00744416873449131;0;0,0245901639344262;0,0312817800919334;0,00744416873449131;0,142681503384951;0,0422535211267607;0,00845070422535214;0;0,0419266983114155;2;0,02;"NGUI001_Control A"
19;"Feb";2020;"NGUI001";"Treatment B";"Exclosure";1;0;0;0;1;4;1;0;2;10;0;0;0;0;0;0;0;0;0;0;2,92;21,6;68,65;18,44;0,0416153337929004;66,7;8,2;1990;30;18;16,33333333;40,29333333;25;16;4;1;4,19;9,295;2,9;9720,11;1185,38;2;0,243902439;32,71;683,65;0,0128995643027618;15,2908855332078;0,0707602814953423;0,00744416873449131;0;0,0245901639344262;0,0312817800919334;0,00744416873449131;0,142681503384951;0,0422535211267607;0,00845070422535214;0;0,0419266983114155;2;0,02;"NGUI001_Treatment B"
19;"Feb";2020;"NGUI001";"Control B";"Control";1;0;0;0;3;2;0;0;0;36;0;24;0;0;0;0;0;0;0;0;2,5;22;24,931;13,13;0,0370667508263756;66,7;8,2;1990;30;18;16,33333333;40,29333333;25;16;4;1;4,19;9,295;2,9;9720,11;1185,38;2;0,243902439;32,71;683,65;0,0128995643027618;15,2908855332078;0,0707602814953423;0,00744416873449131;0;0,0245901639344262;0,0312817800919334;0,00744416873449131;0,142681503384951;0,0422535211267607;0,00845070422535214;0;0,0419266983114155;2;0,02;"NGUI001_Control B"
19;"Feb";2020;"NGUI001";"Treatment A";"Exclosure";1;1;0;0;0;0;0;0;3;42;0;13;0;0;0;0;0;0;0;0;2,26;18,8;63,264;14,3;0,024714507220018;66,7;8,2;1990;30;18;16,33333333;40,29333333;25;16;4;1;4,19;9,295;2,9;9720,11;1185,38;2;0,243902439;32,71;683,65;0,0128995643027618;15,2908855332078;0,0707602814953423;0,00744416873449131;0;0,0245901639344262;0,0312817800919334;0,00744416873449131;0,142681503384951;0,0422535211267607;0,00845070422535214;0;0,0419266983114155;2;0,02;"NGUI001_Treatment A"
2;"July";2020;"ELAT SOUTH";"Treatment A";"Exclosure";5;362;4;6;0;11;6;1;158;50;0;1;0;1;0;0;0;0;0;0;3,07;27;17,783;18,7;0,0675546299364926;31;4,2;2011;32;11;26,084375;8,963125;11;7;21;4;8,925;2,865;3,51;3402,76;810,18;2;0,476190476;35,2;696,96;0,00313275578855944;2,53809608477509;0,0246812011517894;0;0;0,00822706705059646;0;0;0,130475043288414;0,0651133027177597;0;0;0;7;7,13;"ELAT SOUTH_Treatment A"
2;"July";2020;"ELAT SOUTH";"Treatment B";"Exclosure";5;359;0;0;0;17;3;0;7;600;0;67;0;3;0;0;0;0;0;0;3,4;28,6;11,726;19;0,0835095064298799;31;4,2;2011;32;11;26,084375;8,963125;11;7;21;4;8,925;2,865;3,51;3402,76;810,18;2;0,476190476;35,2;696,96;0,00313275578855944;2,53809608477509;0,0246812011517894;0;0;0,00822706705059646;0;0;0,130475043288414;0,0651133027177597;0;0;0;7;7,13;"ELAT SOUTH_Treatment B"
2;"July";2020;"ELAT SOUTH";"Control B";"Control";5;424;0;2;0;11;8;0;8;820;0;40;0;1;0;0;0;0;0;0;3,37;23,2;82,929;20,6;0,0550282025169479;31;4,2;2011;32;11;26,084375;8,963125;11;7;21;4;8,925;2,865;3,51;3402,76;810,18;2;0,476190476;35,2;696,96;0,00313275578855944;2,53809608477509;0,0246812011517894;0;0;0,00822706705059646;0;0;0,130475043288414;0,0651133027177597;0;0;0;7;7,13;"ELAT SOUTH_Control B"
2;"July";2020;"ELAT SOUTH";"Control A";"Control";5;103;2;4;0;13;8;0;9;105;0;2;0;0;0;0;0;0;0;0;3,24;23,8;82,491;16,4;0,0556616591185519;31;4,2;2011;32;11;26,084375;8,963125;11;7;21;4;8,925;2,865;3,51;3402,76;810,18;2;0,476190476;35,2;696,96;0,00313275578855944;2,53809608477509;0,0246812011517894;0;0;0,00822706705059646;0;0;0,130475043288414;0,0651133027177597;0;0;0;7;7,13;"ELAT SOUTH_Control A"
2;"May";2020;"EBEM";"Control B";"Control";3;4;0;4;0;40;3;2;2;272;0;0;0;1;0;0;0;0;0;0;3,43;27;65,328;17,26;0,0752757560176576;85,45;3,5;1993;51;26;54,56666667;18,06666667;29;22;21;3;10,54;4,17;3,19;3448,07;985,16;1,5;0,428571429;27,64;694,54;0,00685298713487667;6,7512888057951;0,151587301587302;0,0158730158730159;0,0396825396825397;0,0162698412698413;0,0158730158730159;0,040079365079365;0,189923494037536;0,0165289256198347;0,041288210351609;0;0,0247706526311003;5;6,64;"EBEM_Control B"
2;"May";2020;"EBEM";"Treatment A";"Exclosure";3;14;3;1;1;34;4;3;1;35;0;17;0;0;0;0;0;0;0;0;3;29;38,948;23,5;0,0759376640795285;85,45;3,5;1993;51;26;54,56666667;18,06666667;29;22;21;3;10,54;4,17;3,19;3448,07;985,16;1,5;0,428571429;27,64;694,54;0,00685298713487667;6,7512888057951;0,151587301587302;0,0158730158730159;0,0396825396825397;0,0162698412698413;0,0158730158730159;0,040079365079365;0,189923494037536;0,0165289256198347;0,041288210351609;0;0,0247706526311003;5;6,64;"EBEM_Treatment A"
2;"May";2020;"EBEM";"Control A";"Control";3;21;1;3;1;37;6;0;1;41;0;3;0;0;0;0;1;0;0;0;3,94;33;42,439;22,63;0,127505676644573;85,45;3,5;1993;51;26;54,56666667;18,06666667;29;22;21;3;10,54;4,17;3,19;3448,07;985,16;1,5;0,428571429;27,64;694,54;0,00685298713487667;6,7512888057951;0,151587301587302;0,0158730158730159;0,0396825396825397;0,0162698412698413;0,0158730158730159;0,040079365079365;0,189923494037536;0,0165289256198347;0,041288210351609;0;0,0247706526311003;5;6,64;"EBEM_Control A"
2;"May";2020;"EBEM";"Treatment B";"Exclosure";3;9;5;1;0;42;40;0;2;12;0;51;0;1;0;0;0;0;0;0;3,06;15,3;68,99;13,7;0,0222212140268692;85,45;3,5;1993;51;26;54,56666667;18,06666667;29;22;21;3;10,54;4,17;3,19;3448,07;985,16;1,5;0,428571429;27,64;694,54;0,00685298713487667;6,7512888057951;0,151587301587302;0,0158730158730159;0,0396825396825397;0,0162698412698413;0,0158730158730159;0,040079365079365;0,189923494037536;0,0165289256198347;0,041288210351609;0;0,0247706526311003;5;6,64;"EBEM_Treatment B"
2;"May";2020;"NKOL SOUTH";"Control A";"Control";3;17;1;6;0;18;8;0;2;85;0;1;150;0;0;0;0;0;0;0;6,68;19;73,656;19;0,0726599096665397;84,55;2,7;1970;66;29;40,34545455;15,05;38;21;28;6;9,75;6,675;4,57;1292,8;478,81;0,5;0,185185185;26,01;686,07;0,0159121178107248;7,61888112895312;0,0947692307692308;0,0236923076923077;0,0156923076923077;0,0236923076923077;0,00769230769230769;0,016;0,0981360671015846;0,0246598322460392;0,0162162162162163;0;0,0162162162162163;5;6,64;"NKOL SOUTH_Control A"
2;"May";2020;"NKOL SOUTH";"Treatment A";"Exclosure";3;37;1;13;0;17;14;1;2;250;0;38;0;1;0;0;0;0;0;0;3,27;18;80,22;11,93;0,032559410536727;84,55;2,7;1970;66;29;40,34545455;15,05;38;21;28;6;9,75;6,675;4,57;1292,8;478,81;0,5;0,185185185;26,01;686,07;0,0159121178107248;7,61888112895312;0,0947692307692308;0,0236923076923077;0,0156923076923077;0,0236923076923077;0,00769230769230769;0,016;0,0981360671015846;0,0246598322460392;0,0162162162162163;0;0,0162162162162163;5;6,64;"NKOL SOUTH_Treatment A"
2;"May";2020;"NKOL SOUTH";"Treatment B";"Exclosure";3;19;0;17;0;10;3;2;0;125;0;3;0;0;0;0;0;0;0;0;3,57;24;60,847;16,3;0,0621960093115568;84,55;2,7;1970;66;29;40,34545455;15,05;38;21;28;6;9,75;6,675;4,57;1292,8;478,81;0,5;0,185185185;26,01;686,07;0,0159121178107248;7,61888112895312;0,0947692307692308;0,0236923076923077;0,0156923076923077;0,0236923076923077;0,00769230769230769;0,016;0,0981360671015846;0,0246598322460392;0,0162162162162163;0;0,0162162162162163;5;6,64;"NKOL SOUTH_Treatment B"
2;"May";2020;"NKOL SOUTH";"Control B";"Control";3;26;1;4;0;15;1;0;0;807;0;1;0;0;0;0;0;0;0;0;3,88;33,6;52,234;17,2;0,130106810591937;84,55;2,7;1970;66;29;40,34545455;15,05;38;21;28;6;9,75;6,675;4,57;1292,8;478,81;0,5;0,185185185;26,01;686,07;0,0159121178107248;7,61888112895312;0,0947692307692308;0,0236923076923077;0,0156923076923077;0,0236923076923077;0,00769230769230769;0,016;0,0981360671015846;0,0246598322460392;0,0162162162162163;0;0,0162162162162163;5;6,64;"NKOL SOUTH_Control B"
